NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
56 ,3,6,  18.7%,  0.78%
56 ,3,7,   9.9%,  0.79%
56 ,3,8,  10.6%,  0.94%
56 ,3,9,   9.7%,  1.05%
56 ,3,10,   8.6%,  0.49%
56 ,4,1,   5.9%,  0.65%
56 ,4,2,  33.7%,  1.10%
56 ,4,3,  60.4%,  1.08%
56 ,5,2,   3.5%,  0.50%
56 ,5,3,   2.2%,  0.45%
56 ,5,4,  94.2%,  0.93%
56 ,6,1,   4.3%,  0.37%
56 ,6,2,  18.7%,  1.06%
56 ,6,3,  77.0%,  1.27%
56 ,7,1,   2.7%,  0.61%
56 ,7,2,  41.2%,  1.34%
56 ,7,3,  56.1%,  1.75%
56 ,8,1,   4.6%,  0.78%
56 ,8,2,  25.3%,  1.41%
56 ,8,3,  70.1%,  1.01%
56 ,9,1,   5.5%,  0.71%
56 ,9,2,   3.8%,  0.48%
56 ,9,3,  41.6%,  1.65%
56 ,9,4,  49.1%,  1.50%
56 ,10,1,  19.3%,  0.89%
56 ,10,2,   4.5%,  0.45%
56 ,10,3,   8.9%,  0.87%
56 ,10,4,   2.4%,  0.61%
56 ,10,5,   7.4%,  0.57%
56 ,10,6,  12.7%,  0.73%
56 ,10,7,  74.3%,  1.04%
56 ,11,1,   6.0%,  0.44%
56 ,11,2,  16.5%,  0.96%
56 ,11,3,   2.9%,  0.21%
56 ,11,4,   7.8%,  0.74%
56 ,11,5,   8.7%,  0.67%
56 ,11,6,   3.1%,  0.43%
56 ,11,7,   8.9%,  0.44%
56 ,11,8,  69.0%,  0.99%
56 ,12,1,   0.8%,  0.27%
56 ,12,2,   7.4%,  0.55%
56 ,12,3,  43.4%,  1.47%
56 ,12,4,  33.1%,  1.04%
56 ,12,5,  15.3%,  1.27%
56 ,13,1,   6.5%,  0.61%
56 ,13,2,   9.5%,  0.90%
56 ,13,3,  14.1%,  1.07%
56 ,13,4,  28.4%,  1.57%
56 ,13,5,  21.0%,  1.58%
56 ,13,6,   4.5%,  0.37%
56 ,13,7,  16.0%,  1.04%
56 ,14,1,   2.1%,  0.43%
56 ,14,2,  97.9%,  0.43%
56 ,15,1,   6.8%,  0.84%
56 ,15,2,  93.2%,  0.84%
56 ,16,1,  70.9%,  1.25%
56 ,16,2,  21.9%,  1.39%
56 ,16,3,  14.8%,  1.06%
56 ,16,4,   1.2%,  0.35%
56 ,16,5,   1.5%,  0.24%
56 ,16,6,   4.3%,  0.76%
56 ,16,7,   0.5%,  0.19%
56 ,16,8,   0.4%,  0.14%
56 ,16,9,   3.8%,  0.92%
56 ,16,10,   6.6%,  0.50%
56 ,16,11,  10.6%,  0.52%
56 ,16,12,   3.0%,  0.67%
56 ,16,13,   2.7%,  0.48%
56 ,16,14,  23.0%,  0.94%
56 ,17,1,  69.6%,  1.21%
56 ,17,2,  19.2%,  1.19%
56 ,17,3,  10.4%,  0.74%
56 ,17,4,   0.7%,  0.24%
56 ,17,5,   1.6%,  0.18%
56 ,17,6,   4.3%,  0.52%
56 ,17,7,   0.4%,  0.19%
56 ,17,8,   0.7%,  0.23%
56 ,17,9,  26.0%,  1.16%
56 ,18,1,  15.9%,  1.11%
56 ,18,2,  32.4%,  1.21%
56 ,18,3,  51.7%,  0.97%
56 ,19,1,  23.6%,  1.01%
56 ,19,2,   8.8%,  1.16%
56 ,19,3,   9.9%,  0.87%
56 ,19,4,  31.1%,  1.31%
56 ,19,5,  12.6%,  0.94%
56 ,19,6,  31.8%,  1.08%
56 ,19,7,   4.6%,  0.63%
56 ,19,8,  37.7%,  1.16%
56 ,20,2,   3.6%,  0.56%
56 ,20,3,  16.3%,  1.08%
56 ,20,4,  38.0%,  1.22%
56 ,20,5,   6.9%,  1.12%
56 ,20,6,   1.5%,  0.35%
56 ,20,7,  24.5%,  1.49%
56 ,20,8,   9.2%,  0.72%
61 ,2,1,  59.4%,  2.78%
61 ,2,2,  32.2%,  2.51%
61 ,2,3,   4.8%,  1.07%
61 ,2,4,   3.5%,  1.02%
61 ,3,1,   9.8%,  1.62%
61 ,3,2,   5.6%,  1.25%
61 ,3,3,   9.2%,  1.47%
61 ,3,4,  17.2%,  1.94%
61 ,3,5,  29.4%,  2.04%
61 ,3,6,  14.4%,  1.74%
61 ,3,7,   3.1%,  0.63%
61 ,3,8,   5.4%,  1.20%
61 ,3,9,   1.7%,  0.73%
61 ,3,10,   4.1%,  0.99%
61 ,4,1,   5.4%,  1.59%
61 ,4,2,  42.0%,  2.71%
61 ,4,3,  52.6%,  2.69%
61 ,5,1,   0.6%,  0.31%
61 ,5,2,  13.6%,  1.96%
61 ,5,3,   2.1%,  0.58%
61 ,5,4,  83.8%,  2.19%
61 ,6,1,   2.3%,  0.90%
61 ,6,2,  15.5%,  2.00%
61 ,6,3,  82.2%,  2.37%
61 ,7,1,   4.4%,  1.26%
61 ,7,2,  56.9%,  1.97%
61 ,7,3,  38.7%,  2.15%
61 ,8,1,   3.8%,  1.11%
61 ,8,2,  28.7%,  3.06%
61 ,8,3,  67.5%,  3.19%
61 ,9,1,   8.6%,  1.22%
61 ,9,2,   7.6%,  1.44%
61 ,9,3,  54.1%,  1.97%
61 ,9,4,  29.7%,  2.85%
61 ,10,1,  10.6%,  1.30%
61 ,10,2,   3.4%,  0.93%
61 ,10,3,   2.6%,  0.97%
61 ,10,4,   1.7%,  0.56%
61 ,10,5,   2.0%,  0.68%
61 ,10,6,   5.8%,  1.19%
61 ,10,7,  86.1%,  1.92%
61 ,11,1,   9.4%,  1.58%
61 ,11,2,  15.9%,  2.04%
61 ,11,3,   6.3%,  1.95%
61 ,11,4,  18.8%,  2.20%
61 ,11,5,  40.6%,  2.77%
61 ,11,6,   2.7%,  0.97%
61 ,11,7,   5.5%,  1.05%
61 ,11,8,  47.7%,  3.39%
61 ,12,1,   2.9%,  0.70%
61 ,12,2,   2.8%,  0.87%
61 ,12,3,  16.5%,  1.39%
61 ,12,4,  31.7%,  2.17%
61 ,12,5,  46.0%,  2.26%
61 ,13,1,   3.6%,  0.79%
61 ,13,2,   7.3%,  1.17%
61 ,13,3,  13.8%,  1.26%
61 ,13,4,  25.2%,  1.45%
61 ,13,5,  35.2%,  2.02%
61 ,13,6,   6.6%,  1.10%
61 ,13,7,   8.3%,  1.64%
61 ,14,1,   5.0%,  1.04%
61 ,14,2,  95.0%,  1.04%
61 ,15,1,  19.5%,  1.77%
61 ,15,2,  80.5%,  1.77%
61 ,16,1,  79.4%,  2.32%
61 ,16,2,  40.5%,  3.78%
61 ,16,3,  19.1%,  2.20%
61 ,16,4,   2.2%,  0.62%
61 ,16,5,   1.3%,  0.43%
61 ,16,6,   1.6%,  0.60%
61 ,16,8,   3.5%,  0.86%
61 ,16,9,  19.3%,  0.75%
61 ,16,10,   7.5%,  1.59%
61 ,16,11,  16.9%,  1.75%
61 ,16,12,   9.8%,  1.51%
61 ,16,13,   9.0%,  1.20%
61 ,16,14,  13.8%,  2.11%
61 ,17,1,  78.1%,  2.07%
61 ,17,2,  36.9%,  3.33%
61 ,17,3,  11.1%,  1.44%
61 ,17,4,   0.9%,  0.43%
61 ,17,5,   1.3%,  0.43%
61 ,17,6,   1.0%,  0.48%
61 ,17,8,   3.4%,  0.72%
61 ,17,9,  17.8%,  2.42%
61 ,18,1,  63.9%,  1.25%
61 ,18,2,  14.2%,  1.40%
61 ,18,3,  21.8%,  1.81%
61 ,19,1,  42.9%,  3.94%
61 ,19,2,   4.8%,  1.19%
61 ,19,3,  26.9%,  1.91%
61 ,19,4,  45.0%,  3.42%
61 ,19,5,  21.0%,  2.42%
61 ,19,6,  20.1%,  1.53%
61 ,19,7,  10.7%,  1.32%
61 ,19,8,  18.6%,  2.54%
61 ,20,2,   1.9%,  0.92%
61 ,20,3,  13.5%,  1.94%
61 ,20,4,  67.3%,  2.72%
61 ,20,5,   9.7%,  1.97%
61 ,20,6,   1.4%,  0.46%
61 ,20,7,   3.0%,  0.87%
61 ,20,8,   2.5%,  0.77%
62 ,2,1,  30.9%,  1.23%
62 ,2,2,  58.0%,  0.90%
62 ,2,3,   8.7%,  0.69%
62 ,2,4,   1.7%,  0.17%
62 ,2,5,   0.7%,  0.13%
62 ,3,1,   2.9%,  0.37%
62 ,3,2,   1.4%,  0.22%
62 ,3,3,   2.9%,  0.39%
62 ,3,4,   8.2%,  0.58%
62 ,3,5,  22.6%,  0.68%
62 ,3,6,  28.3%,  0.87%
62 ,3,7,  11.1%,  0.69%
62 ,3,8,   9.4%,  0.36%
62 ,3,9,   5.9%,  0.60%
62 ,3,10,   7.2%,  0.44%
62 ,4,1,   4.3%,  0.64%
62 ,4,2,  43.4%,  1.20%
62 ,4,3,  52.2%,  1.31%
62 ,5,1,   0.5%,  0.20%
62 ,5,2,   4.4%,  0.44%
62 ,5,3,   1.3%,  0.14%
62 ,5,4,  93.8%,  0.40%
62 ,6,1,   4.9%,  0.43%
62 ,6,2,  10.1%,  0.62%
62 ,6,3,  85.0%,  0.84%
62 ,7,1,   3.5%,  0.45%
62 ,7,2,  52.2%,  1.59%
62 ,7,3,  44.3%,  1.67%
62 ,8,1,   5.3%,  0.49%
62 ,8,2,  20.2%,  0.80%
62 ,8,3,  74.5%,  0.85%
62 ,9,1,   5.4%,  0.38%
62 ,9,2,   2.6%,  0.55%
62 ,9,3,  32.5%,  0.97%
62 ,9,4,  59.5%,  1.00%
62 ,10,1,  34.1%,  0.73%
62 ,10,2,   7.9%,  0.56%
62 ,10,3,  17.0%,  1.07%
62 ,10,4,   4.5%,  0.41%
62 ,10,5,   5.4%,  0.70%
62 ,10,6,  13.4%,  0.53%
62 ,10,7,  60.6%,  0.71%
62 ,11,1,   6.6%,  0.53%
62 ,11,2,  20.7%,  0.53%
62 ,11,3,   3.3%,  0.32%
62 ,11,4,  14.3%,  0.80%
62 ,11,5,  32.1%,  1.05%
62 ,11,6,  19.5%,  0.79%
62 ,11,7,  13.6%,  0.48%
62 ,11,8,  45.0%,  1.03%
62 ,12,1,   1.1%,  0.28%
62 ,12,2,   4.4%,  0.61%
62 ,12,3,  27.9%,  0.82%
62 ,12,4,  54.7%,  1.20%
62 ,12,5,  11.9%,  0.68%
62 ,13,1,   4.8%,  0.54%
62 ,13,2,  10.9%,  0.62%
62 ,13,3,  19.0%,  0.97%
62 ,13,4,  31.6%,  0.83%
62 ,13,5,  19.3%,  0.68%
62 ,13,6,   3.1%,  0.33%
62 ,13,7,  11.3%,  0.49%
62 ,14,1,   3.5%,  0.43%
62 ,14,2,  96.5%,  0.43%
62 ,15,1,   9.4%,  0.48%
62 ,15,2,  90.6%,  0.48%
62 ,16,1,  84.8%,  0.70%
62 ,16,2,  35.9%,  1.40%
62 ,16,3,  22.5%,  0.71%
62 ,16,4,   1.1%,  0.19%
62 ,16,5,   1.4%,  0.32%
62 ,16,6,   8.5%,  0.55%
62 ,16,7,   0.8%,  0.20%
62 ,16,8,   9.3%,  0.81%
62 ,16,9,  13.3%,  0.52%
62 ,16,10,   7.1%,  0.48%
62 ,16,11,  13.0%,  0.50%
62 ,16,12,   4.3%,  0.38%
62 ,16,13,   4.9%,  0.43%
62 ,16,14,   8.7%,  0.57%
62 ,17,1,  84.3%,  0.66%
62 ,17,2,  32.3%,  1.04%
62 ,17,3,  13.2%,  0.68%
62 ,17,4,   0.4%,  0.12%
62 ,17,5,   1.4%,  0.17%
62 ,17,6,   6.8%,  0.43%
62 ,17,7,   0.5%,  0.11%
62 ,17,8,  12.0%,  0.80%
62 ,17,9,  10.6%,  0.64%
62 ,18,1,  25.1%,  1.06%
62 ,18,2,  24.4%,  0.80%
62 ,18,3,  50.5%,  0.86%
62 ,19,1,  26.7%,  0.90%
62 ,19,2,  16.6%,  0.60%
62 ,19,3,   6.9%,  0.52%
62 ,19,4,  26.8%,  0.96%
62 ,19,5,  20.4%,  0.41%
62 ,19,6,  24.6%,  0.93%
62 ,19,7,   3.6%,  0.29%
62 ,19,8,  34.6%,  0.81%
62 ,20,1,   0.9%,  0.16%
62 ,20,2,   4.0%,  0.50%
62 ,20,3,  19.3%,  0.76%
62 ,20,4,  53.8%,  1.13%
62 ,20,5,   6.0%,  0.59%
62 ,20,6,   1.5%,  0.27%
62 ,20,7,   5.7%,  0.44%
62 ,20,8,   8.9%,  0.87%
71 ,2,1,  58.4%,  1.72%
71 ,2,2,  27.6%,  0.94%
71 ,2,3,   9.7%,  1.08%
71 ,2,4,   2.9%,  0.79%
71 ,2,5,   1.4%,  0.69%
71 ,3,1,  18.1%,  1.41%
71 ,3,2,   7.9%,  1.07%
71 ,3,3,   5.7%,  0.73%
71 ,3,4,  13.6%,  1.72%
71 ,3,5,  19.2%,  1.65%
71 ,3,6,  13.6%,  1.67%
71 ,3,7,   6.0%,  0.65%
71 ,3,8,   7.1%,  1.45%
71 ,3,9,   3.8%,  0.71%
71 ,3,10,   5.0%,  0.91%
71 ,4,1,   5.7%,  0.82%
71 ,4,2,  41.6%,  2.64%
71 ,4,3,  52.6%,  2.81%
71 ,5,1,   0.4%,  0.24%
71 ,5,2,  11.1%,  1.27%
71 ,5,3,   1.9%,  0.76%
71 ,5,4,  86.6%,  1.51%
71 ,6,1,   1.8%,  0.42%
71 ,6,2,  16.2%,  1.60%
71 ,6,3,  82.0%,  1.58%
71 ,7,1,   2.8%,  0.77%
71 ,7,2,  56.2%,  2.31%
71 ,7,3,  41.0%,  2.21%
71 ,8,1,   1.3%,  0.45%
71 ,8,2,  27.1%,  2.08%
71 ,8,3,  71.6%,  2.18%
71 ,9,1,   4.7%,  1.21%
71 ,9,2,   5.3%,  1.02%
71 ,9,3,  45.2%,  2.09%
71 ,9,4,  44.8%,  1.97%
71 ,10,1,  10.2%,  0.95%
71 ,10,2,   3.0%,  0.82%
71 ,10,3,   3.9%,  0.59%
71 ,10,4,   0.9%,  0.30%
71 ,10,5,   2.9%,  0.43%
71 ,10,6,   7.2%,  0.77%
71 ,10,7,  84.4%,  1.19%
71 ,11,1,   7.6%,  1.17%
71 ,11,2,   8.8%,  0.98%
71 ,11,3,   3.5%,  0.44%
71 ,11,4,  10.6%,  1.57%
71 ,11,5,  27.5%,  1.86%
71 ,11,6,   3.1%,  0.53%
71 ,11,7,   6.3%,  0.89%
71 ,11,8,  63.0%,  2.29%
71 ,12,1,   1.7%,  0.47%
71 ,12,2,   2.0%,  0.84%
71 ,12,3,  30.2%,  1.42%
71 ,12,4,  20.5%,  1.25%
71 ,12,5,  45.6%,  2.91%
71 ,13,1,   4.3%,  0.70%
71 ,13,2,   5.9%,  1.03%
71 ,13,3,  10.2%,  1.48%
71 ,13,4,  20.2%,  1.10%
71 ,13,5,  37.0%,  1.18%
71 ,13,6,   6.0%,  0.57%
71 ,13,7,  16.4%,  0.70%
71 ,14,1,   3.9%,  0.60%
71 ,14,2,  96.1%,  0.60%
71 ,15,1,  14.3%,  1.51%
71 ,15,2,  85.7%,  1.51%
71 ,16,1,  67.0%,  1.65%
71 ,16,2,  24.4%,  2.01%
71 ,16,3,  18.4%,  1.66%
71 ,16,4,   1.5%,  0.44%
71 ,16,5,   2.4%,  0.52%
71 ,16,6,   4.2%,  0.93%
71 ,16,7,   3.7%,  0.64%
71 ,16,8,   2.7%,  0.56%
71 ,16,9,  17.0%,  1.57%
71 ,16,10,   6.9%,  1.05%
71 ,16,11,  11.2%,  0.99%
71 ,16,12,   7.1%,  0.47%
71 ,16,13,  11.8%,  1.47%
71 ,16,14,  20.3%,  1.00%
71 ,17,1,  65.5%,  1.64%
71 ,17,2,  21.1%,  2.01%
71 ,17,3,  10.2%,  1.57%
71 ,17,4,   0.8%,  0.52%
71 ,17,5,   2.2%,  0.65%
71 ,17,6,   4.2%,  0.85%
71 ,17,7,   3.6%,  0.71%
71 ,17,8,   3.6%,  0.73%
71 ,17,9,  26.9%,  1.27%
71 ,18,1,  33.9%,  1.68%
71 ,18,2,  25.5%,  1.96%
71 ,18,3,  40.5%,  1.76%
71 ,19,1,  36.8%,  2.06%
71 ,19,2,   5.0%,  1.11%
71 ,19,3,  17.8%,  1.80%
71 ,19,4,  27.8%,  0.93%
71 ,19,5,  17.5%,  1.88%
71 ,19,6,  16.5%,  1.56%
71 ,19,7,   8.8%,  1.28%
71 ,19,8,  33.6%,  1.28%
71 ,20,2,   1.2%,  0.38%
71 ,20,3,  14.4%,  1.55%
71 ,20,4,  61.7%,  2.42%
71 ,20,5,   5.7%,  1.11%
71 ,20,6,   2.7%,  0.71%
71 ,20,7,   9.3%,  0.78%
71 ,20,8,   5.0%,  0.91%
72 ,2,1,  67.2%,  1.34%
72 ,2,2,  23.7%,  1.42%
72 ,2,3,   4.6%,  0.44%
72 ,2,4,   3.1%,  0.48%
72 ,2,5,   1.4%,  0.37%
72 ,3,1,  10.6%,  0.89%
72 ,3,2,   1.6%,  0.42%
72 ,3,3,   2.8%,  0.39%
72 ,3,4,   8.8%,  0.77%
72 ,3,5,  22.8%,  1.10%
72 ,3,6,  26.4%,  1.31%
72 ,3,7,  12.5%,  0.75%
72 ,3,8,   8.1%,  0.60%
72 ,3,9,   3.0%,  0.35%
72 ,3,10,   3.3%,  0.40%
72 ,4,1,   4.5%,  0.38%
72 ,4,2,  64.3%,  1.35%
72 ,4,3,  31.2%,  1.17%
72 ,5,1,   0.8%,  0.11%
72 ,5,2,  10.1%,  0.49%
72 ,5,3,   1.9%,  0.28%
72 ,5,4,  87.2%,  0.46%
72 ,6,1,   2.4%,  0.28%
72 ,6,2,  32.2%,  1.25%
72 ,6,3,  65.4%,  1.34%
72 ,7,1,   4.4%,  0.35%
72 ,7,2,  70.9%,  0.84%
72 ,7,3,  24.7%,  0.99%
72 ,8,1,   3.0%,  0.28%
72 ,8,2,  47.4%,  1.38%
72 ,8,3,  49.6%,  1.51%
72 ,9,1,   0.7%,  0.22%
72 ,9,2,   4.3%,  0.29%
72 ,9,3,  17.8%,  0.98%
72 ,9,4,  77.2%,  1.06%
72 ,10,1,  22.8%,  0.55%
72 ,10,2,   3.5%,  0.48%
72 ,10,3,  10.0%,  0.69%
72 ,10,4,   1.8%,  0.41%
72 ,10,5,   4.3%,  0.43%
72 ,10,6,   7.6%,  0.83%
72 ,10,7,  72.6%,  0.55%
72 ,11,1,  11.4%,  0.81%
72 ,11,2,  20.9%,  0.56%
72 ,11,3,   1.3%,  0.24%
72 ,11,4,  14.4%,  0.63%
72 ,11,5,  38.1%,  1.10%
72 ,11,6,   5.5%,  0.58%
72 ,11,7,   9.1%,  0.54%
72 ,11,8,  48.7%,  0.90%
72 ,12,1,   1.6%,  0.30%
72 ,12,2,   2.6%,  0.47%
72 ,12,3,  17.8%,  1.02%
72 ,12,4,  31.0%,  0.77%
72 ,12,5,  47.0%,  0.98%
72 ,13,1,   8.2%,  0.42%
72 ,13,2,  10.4%,  0.78%
72 ,13,3,  16.4%,  1.16%
72 ,13,4,  24.1%,  1.07%
72 ,13,5,  17.3%,  0.85%
72 ,13,6,   7.9%,  1.01%
72 ,13,7,  15.7%,  0.80%
72 ,14,1,   8.7%,  0.64%
72 ,14,2,  91.3%,  0.64%
72 ,15,1,  23.1%,  0.89%
72 ,15,2,  76.9%,  0.89%
72 ,16,1,  86.7%,  0.38%
72 ,16,2,  44.9%,  1.02%
72 ,16,3,  23.3%,  0.76%
72 ,16,4,   2.1%,  0.37%
72 ,16,5,   2.0%,  0.22%
72 ,16,6,   5.5%,  0.45%
72 ,16,7,   2.1%,  0.20%
72 ,16,8,   1.4%,  0.23%
72 ,16,9,  19.3%,  0.68%
72 ,16,10,   9.9%,  0.71%
72 ,16,11,  19.1%,  0.49%
72 ,16,12,   9.8%,  0.56%
72 ,16,13,   5.0%,  0.48%
72 ,16,14,   6.7%,  0.36%
72 ,17,1,  85.7%,  0.55%
72 ,17,2,  40.7%,  1.04%
72 ,17,3,  15.7%,  0.75%
72 ,17,4,   0.8%,  0.20%
72 ,17,5,   1.6%,  0.24%
72 ,17,6,   4.7%,  0.39%
72 ,17,7,   1.8%,  0.12%
72 ,17,8,   1.3%,  0.21%
72 ,17,9,   9.2%,  0.64%
72 ,18,1,  37.8%,  1.26%
72 ,18,2,  25.6%,  1.10%
72 ,18,3,  36.7%,  1.22%
72 ,19,1,  52.4%,  1.51%
72 ,19,2,   9.1%,  0.50%
72 ,19,3,  19.1%,  0.89%
72 ,19,4,  38.3%,  1.07%
72 ,19,5,  18.2%,  0.67%
72 ,19,6,  25.6%,  0.71%
72 ,19,7,  11.2%,  0.62%
72 ,19,8,  19.8%,  1.10%
72 ,20,1,   0.2%,  0.15%
72 ,20,2,   2.7%,  0.34%
72 ,20,3,  14.3%,  0.83%
72 ,20,4,  63.4%,  1.24%
72 ,20,5,  10.0%,  0.51%
72 ,20,6,   3.4%,  0.50%
72 ,20,7,   3.7%,  0.43%
72 ,20,8,   2.3%,  0.26%
81 ,2,1,  41.6%,  1.23%
81 ,2,2,  40.9%,  0.94%
81 ,2,3,  12.7%,  0.89%
81 ,2,4,   3.0%,  0.28%
81 ,2,5,   1.8%,  0.31%
81 ,3,1,   4.2%,  0.72%
81 ,3,2,   2.7%,  0.52%
81 ,3,3,   4.2%,  0.36%
81 ,3,4,  16.3%,  1.18%
81 ,3,5,  32.2%,  1.41%
81 ,3,6,  23.7%,  1.05%
81 ,3,7,   6.5%,  0.67%
81 ,3,8,   3.8%,  0.57%
81 ,3,9,   1.7%,  0.20%
81 ,3,10,   4.6%,  0.37%
81 ,4,1,   4.9%,  0.46%
81 ,4,2,  52.5%,  1.35%
81 ,4,3,  42.6%,  1.50%
81 ,5,1,   0.8%,  0.29%
81 ,5,2,   3.3%,  0.34%
81 ,5,3,   1.6%,  0.38%
81 ,5,4,  94.3%,  0.62%
81 ,6,1,   2.8%,  0.40%
81 ,6,2,  13.6%,  1.13%
81 ,6,3,  83.6%,  1.02%
81 ,7,1,   3.8%,  0.47%
81 ,7,2,  46.8%,  1.17%
81 ,7,3,  49.4%,  1.18%
81 ,8,1,   3.0%,  0.46%
81 ,8,2,  27.2%,  1.42%
81 ,8,3,  69.8%,  1.71%
81 ,9,1,   1.5%,  0.24%
81 ,9,2,   2.8%,  0.61%
81 ,9,3,  20.1%,  0.70%
81 ,9,4,  75.6%,  1.04%
81 ,10,1,  33.9%,  0.65%
81 ,10,2,  11.5%,  0.56%
81 ,10,3,  12.7%,  0.72%
81 ,10,4,   4.9%,  0.67%
81 ,10,5,  11.2%,  0.71%
81 ,10,6,  18.4%,  0.73%
81 ,10,7,  58.8%,  0.80%
81 ,11,1,   7.2%,  0.62%
81 ,11,2,  15.3%,  0.55%
81 ,11,3,   1.6%,  0.15%
81 ,11,4,  12.1%,  0.68%
81 ,11,5,  22.7%,  0.68%
81 ,11,6,   5.6%,  0.59%
81 ,11,7,  15.0%,  1.18%
81 ,11,8,  56.6%,  0.94%
81 ,12,1,   0.7%,  0.24%
81 ,12,2,   3.7%,  0.26%
81 ,12,3,  31.3%,  1.45%
81 ,12,4,  40.9%,  1.48%
81 ,12,5,  23.5%,  0.95%
81 ,13,1,   8.2%,  0.99%
81 ,13,2,  12.3%,  0.65%
81 ,13,3,  18.3%,  1.41%
81 ,13,4,  26.2%,  1.16%
81 ,13,5,  15.9%,  0.65%
81 ,13,6,   5.6%,  0.45%
81 ,13,7,  13.6%,  0.62%
81 ,14,1,   4.6%,  0.47%
81 ,14,2,  95.4%,  0.47%
81 ,15,1,  16.5%,  0.98%
81 ,15,2,  83.5%,  0.98%
81 ,16,1,  80.6%,  1.12%
81 ,16,2,  39.0%,  1.31%
81 ,16,3,  22.2%,  0.78%
81 ,16,4,   0.8%,  0.20%
81 ,16,5,   0.7%,  0.26%
81 ,16,6,   3.2%,  0.55%
81 ,16,7,   0.3%,  0.16%
81 ,16,8,   0.8%,  0.24%
81 ,16,9,  11.4%,  0.55%
81 ,16,10,   6.9%,  0.46%
81 ,16,11,  15.6%,  0.72%
81 ,16,12,   6.4%,  0.45%
81 ,16,13,   3.9%,  0.47%
81 ,16,14,  12.0%,  0.94%
81 ,17,1,  79.1%,  0.97%
81 ,17,2,  34.9%,  1.22%
81 ,17,3,  14.5%,  1.06%
81 ,17,4,   0.6%,  0.17%
81 ,17,5,   0.5%,  0.23%
81 ,17,6,   2.2%,  0.44%
81 ,17,7,   0.2%,  0.12%
81 ,17,8,   1.3%,  0.39%
81 ,17,9,  15.5%,  0.87%
81 ,18,1,  12.1%,  0.73%
81 ,18,2,  28.7%,  0.82%
81 ,18,3,  59.1%,  1.03%
81 ,19,1,  35.4%,  1.35%
81 ,19,2,  11.1%,  0.68%
81 ,19,3,   9.6%,  1.09%
81 ,19,4,  31.3%,  1.31%
81 ,19,5,  11.7%,  0.90%
81 ,19,6,  20.7%,  0.75%
81 ,19,7,   8.0%,  0.84%
81 ,19,8,  32.8%,  1.38%
81 ,20,1,   0.9%,  0.26%
81 ,20,2,   3.0%,  0.62%
81 ,20,3,  16.1%,  1.21%
81 ,20,4,  49.7%,  1.37%
81 ,20,5,  10.7%,  0.61%
81 ,20,6,   2.4%,  0.39%
81 ,20,7,  10.9%,  0.81%
81 ,20,8,   6.2%,  0.48%
